PlaythroughID,RecordType,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,1,10000,S1_1,2026-07-15 12:11:49.544,S1_1_E,2026-07-15 12:12:00.096,0.000,10.560,,,,Blue_L1_0 ,,,,
1,Path,2,10000,L1_0_2,2026-07-15 12:12:01.955,L1_0_2_E,2026-07-15 12:12:18.955,0.000,17.000,,,,Blue_L2_3,,,,
1,Path,3,10000,L2_3_1,2026-07-15 12:12:21.909,L2_3_1_E,2026-07-15 12:12:33.691,0.000,11.780,,,,Red1,2026-07-15 12:12:33.834,,,
1,Decision,1,Blue_L1_0 ,,,,,,,1.760,2026-07-15 12:12:00.198,2026-07-15 12:12:01.955,,,,,
1,Decision,2,Blue_L2_3,,,,,,,2.800,2026-07-15 12:12:19.111,2026-07-15 12:12:21.909,,,,,
1,Summary,,,,,,,,,,,,,,0.000,39.340,4.560
2,Path,1,10000,S1_2,2026-07-15 12:13:15.679,S1_2_E,2026-07-15 12:13:21.762,0.000,6.080,,,,Blue_L1_2,,,,
2,Path,2,10000,L1_1_1,2026-07-15 12:13:23.378,L1_1_1_E,2026-07-15 12:13:31.029,0.000,7.660,,,,Blue_L2_0,,,,
2,Path,3,10000,L2_1_1,2026-07-15 12:13:32.812,L2_1_1_E,2026-07-15 12:13:41.830,0.000,9.020,,,,Red1,2026-07-15 12:13:41.971,,,
2,Decision,1,Blue_L1_2,,,,,,,1.520,2026-07-15 12:13:21.861,2026-07-15 12:13:23.378,,,,,
2,Decision,2,Blue_L2_0,,,,,,,1.640,2026-07-15 12:13:31.178,2026-07-15 12:13:32.812,,,,,
2,Summary,,,,,,,,,,,,,,0.000,22.760,3.160
